관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수,y,x,업종_idx
11710-9458,,지상,서울특별시 송파구 마천로26길 10,4.0,1.0,0.0,,,,,,,,,,187.2411,2.0,127.1386274,37.5022597,13
11230-100236352,,지상,서울특별시 동대문구 천호대로13길 59,2.0,0.0,0.0,,,,,,,,,,119.75,0.0,127.0297516,37.57672,13
11500-21597,,지상,서울특별시 강서구 월정로 126,4.0,1.0,0.0,,,,,,,,,,156.55,3.0,126.8382704,37.530459,13
11500-15855,,지상,서울특별시 강서구 강서로 493,4.0,1.0,0.0,,,,,,,,,,224.93,5.0,126.8412901,37.5695188,13
11500-100354775,,지상,서울특별시 강서구 양천로 667,5.0,0.0,1.0,,,,,,,,,,262.58,4.0,126.8710567,37.5520289,13
11305-29956,,지상,서울특별시 강북구 삼양로 571,3.0,0.0,0.0,,,,,,,,,,178.9,0.0,127.012578,37.6539132,13
11200-21542,,지상,서울특별시 성동구 성수이로 93,4.0,1.0,0.0,,,,,,,,,,0.0,5.0,127.0565793,37.5434303,13
11200-20766,,지상,서울특별시 성동구 광나루로 306,4.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0637728,37.5479226,13
11200-19138,,지상,서울특별시 성동구 서울숲4길 13,2.0,1.0,0.0,,,,,,,,,,65.68,0.0,127.0424458,37.5475664,13
11170-8890,,지상,서울특별시 용산구 한강대로46길 19,4.0,1.0,0.0,,,,,,,,,,198.96,3.0,126.9713752,37.5310707,13
11470-16955,,지상,서울특별시 양천구 목동중앙북로7길 26,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.8677924,37.5489471,13
11470-1681,11470-598,지상,서울특별시 양천구 신목로 66,4.0,1.0,0.0,,,,,,,,,,134.83,4.0,126.8734926,37.5208018,13
11305-14732,,지상,서울특별시 강북구 오현로 175,4.0,1.0,0.0,,,,,,,,,,167.79,4.0,127.037911,37.62771,13
11170-24826,,지상,서울특별시 용산구 회나무로44나길 28,2.0,1.0,0.0,,,,,,,,,,106.474,0.0,126.9926265,37.5375879,13
11170-20897,,지상,서울특별시 용산구 한강대로15길 28,5.0,1.0,0.0,,,,,,,,,,209.16,3.0,126.9631503,37.526418,13
11170-12915,,지상,서울특별시 용산구 우사단로14길 21,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9968486,37.5343873,13
11470-598,,지상,서울특별시 양천구 신목로 66,,,,2.0,0.0,4.0,,,,,,,0.0,0.0,126.8734926,37.5208018,13
11710-15554,,지상,서울특별시 송파구 가락로11길 25,3.0,1.0,0.0,,,,,,,,,,0.0,3.0,127.1038003,37.5026094,13
11530-3404,11530-147,지상,서울특별시 구로구 오리로 1265,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.8295011,37.4947203,13
11530-147,,지상,서울특별시 구로구 오리로 1265,,,,29.0,762.0,0.0,,,,,,,0.0,0.0,126.8295011,37.4947203,13
11410-100247703,,지상,서울특별시 서대문구 신촌로 157,16.0,2.0,2.0,,,,,,,,,,751.75,2.0,126.9436162,37.5569313,13
11410-100202736,11410-100201481,지상,서울특별시 서대문구 수색로 100,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9109013,37.572773,13
11545-465,,지상,서울특별시 금천구 벚꽃로6길 3,,,,5.0,192.0,0.0,,,,,,,255.35,216.0,126.8926762,37.4613177,13
11680-231,,지상,서울특별시 강남구 광평로10길 50,,,,14.0,291.0,0.0,,,,,,,89.45,0.0,127.0828358,37.4805965,13
11680-100310484,11680-100310483,지상,서울특별시 강남구 논현로131길 45,7.0,1.0,1.0,,,,,,,,,,154.4,0.0,127.0266507,37.5134104,13
11680-100293823,,지상,서울특별시 강남구 학동로3길 2,6.0,2.0,1.0,,,,,,,,,,236.27,8.0,127.0227826,37.5117774,13
11530-100264027,,지상,서울특별시 구로구 구일로2길 45,,,,2.0,0.0,0.0,,,,,,,169.1,14.0,126.877651,37.4890965,13
