관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수
11710-100210724,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-2118,지상,20.0,0.0,11.09,0.0,0.0
11710-100210716,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-2056,지상,20.0,0.0,24.67,0.0,0.0
11305-21460,,지상,서울특별시 강북구 노해로14길 8,3.0,1.0,0.0,,,,,,,,,,114.57,1.0
11305-14717,,지상,서울특별시 강북구 월계로37길 21,4.0,0.0,0.0,,,,,,,,,,183.44,4.0
11305-14645,,지상,서울특별시 강북구 삼양로19길 74,3.0,1.0,0.0,,,,,,,,,,100.45,11.0
11710-100210702,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-2083,지상,20.0,0.0,27.84,0.0,0.0
11710-100210710,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-2005,지상,40.0,0.0,9.77,0.0,0.0
11305-100198112,11305-20,지상,서울특별시 강북구 도봉로 242,5.0,4.0,3.0,,,,,,,,,,140.12,107.0
11710-100210670,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2073,지하,10.0,1.0,17.01,0.0,0.0
11710-100210669,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2074,지하,10.0,1.0,0.92,0.0,0.0
11710-100210668,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2075,지하,10.0,1.0,8.06,0.0,0.0
11710-100210667,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2076,지하,10.0,1.0,20.56,0.0,0.0
11710-100210666,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2077,지하,10.0,1.0,1.11,0.0,0.0
11710-100210665,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2078,지하,10.0,1.0,9.74,0.0,0.0
11710-100210543,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2016,지하,10.0,1.0,57.71,0.0,0.0
11710-100210644,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-B2075,지하,20.0,1.0,37.92,0.0,0.0
11710-100210647,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-B2072,지하,10.0,1.0,73.24,0.0,0.0
11710-100210648,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-B2071,지하,10.0,1.0,60.59,0.0,0.0
11290-644,,지상,서울특별시 성북구 정릉로24길 18,,,,2.0,0.0,2.0,,,,,,,0.0,0.0
11710-100210505,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-2109,지상,20.0,2.0,59.7,0.0,0.0
11710-100210506,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-2108,지상,20.0,0.0,42.19,0.0,0.0
11710-100210656,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2087,지하,10.0,1.0,0.58,0.0,0.0
11710-100210655,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-B2088,지하,10.0,1.0,10.64,0.0,0.0
11290-267,,지상,서울특별시 성북구 북악산로 844,,,,19.0,1074.0,0.0,,,,,,,238.69,1177.0
11290-10830,11290-178,지상,동선동3가 1-0,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11290-10386,,지상,서울특별시 성북구 동소문로20가길 51,7.0,1.0,1.0,,,,,,,,,,326.64,8.0
11380-14851,,지상,서울특별시 은평구 갈현로 302-3,2.0,0.0,0.0,,,,,,,,,,0.0,0.0
11110-1000000000000001340883,11110-1000000000000001340881,지상,서울특별시 종로구 낙산길 54,1.0,0.0,0.0,,,,,,,,,,0.32,0.0
11110-1000000000000001340884,11110-1000000000000001340881,지상,서울특별시 종로구 낙산길 54,1.0,0.0,0.0,,,,,,,,,,0.16,0.0
11260-22690,,지상,서울특별시 중랑구 중랑역로 268,2.0,1.0,0.0,,,,,,,,,,0.0,0.0
11260-22689,,지상,서울특별시 중랑구 숙선옹주로 3,2.0,1.0,0.0,,,,,,,,,,0.0,0.0
11260-22806,,지상,서울특별시 중랑구 공릉로2길 13,5.0,0.0,1.0,,,,,,,,,,285.89,7.0
